roll,inkomstgrupp,kapitalgrupp,alder,kon,batchkod,land
,3,2,84,man,Övriga,inte_sverige
D,0,5,54,kvinna,M,Sverige
,3,1,54,man,Övriga,Sverige
D,4,4,31,man,M,Sverige
L,2,3,48,man,M,Sverige
S,2,5,56,man,M,inte_sverige
,1,3,27,man,Övriga,Sverige
,1,4,87,kvinna,Övriga,inte_sverige
S,5,2,83,kvinna,M,Sverige
,1,4,81,kvinna,Övriga,inte_sverige
,0,1,39,man,Övriga,Sverige
S,4,1,38,kvinna,M,Sverige
,0,2,80,man,Övriga,Sverige
,2,4,35,man,Övriga,Sverige
D,2,5,24,man,M,inte_sverige
L,2,2,74,kvinna,M,Sverige
,2,1,72,man,Övriga,inte_sverige
L,1,1,86,man,M,inte_sverige
,3,1,49,kvinna,Övriga,inte_sverige
L,0,2,45,man,M,inte_sverige
,3,5,88,man,Övriga,Sverige
,0,5,67,kvinna,Övriga,Sverige
,0,3,63,man,Övriga,Sverige
L,0,1,68,kvinna,M,Sverige
,5,1,47,kvinna,Övriga,Sverige
L,1,1,56,kvinna,M,inte_sverige
,1,5,64,man,Övriga,inte_sverige
D,0,3,64,kvinna,M,inte_sverige
L,2,1,23,kvinna,M,Sverige
,5,3,85,kvinna,Övriga,inte_sverige
,5,2,84,kvinna,Övriga,Sverige
Sec,4,3,76,kvinna,M,inte_sverige
S,1,1,86,man,M,inte_sverige
Sec,0,2,86,kvinna,M,inte_sverige
,1,3,42,man,Övriga,inte_sverige
D,2,4,78,man,M,inte_sverige
,5,2,50,man,Övriga,inte_sverige
,3,5,63,kvinna,Övriga,inte_sverige
S,3,4,44,kvinna,M,Sverige
D,4,5,76,man,M,inte_sverige
,5,5,55,kvinna,Övriga,inte_sverige
,4,2,48,man,Övriga,Sverige
S,1,5,30,kvinna,M,inte_sverige
Sec,5,4,49,man,M,Sverige
Sec,3,3,78,man,M,inte_sverige
D,0,4,60,man,M,inte_sverige
L,0,4,81,man,M,Sverige
D,2,2,90,kvinna,M,Sverige
,4,2,25,man,Övriga,Sverige
,4,5,40,kvinna,Övriga,inte_sverige
Sec,4,5,48,kvinna,M,Sverige
,5,5,43,man,Övriga,Sverige
S,3,3,51,man,M,Sverige
,4,1,25,kvinna,Övriga,Sverige
,2,5,31,kvinna,Övriga,inte_sverige
Sec,1,5,39,man,M,inte_sverige
,5,2,23,man,Övriga,Sverige
Sec,1,4,77,kvinna,M,Sverige
,4,2,40,kvinna,Övriga,inte_sverige
,1,2,67,kvinna,Övriga,Sverige
L,4,1,46,kvinna,M,inte_sverige
,5,5,61,kvinna,Övriga,inte_sverige
L,2,2,20,kvinna,M,inte_sverige
L,5,4,54,kvinna,M,inte_sverige
,1,2,25,kvinna,Övriga,inte_sverige
,0,2,63,kvinna,Övriga,Sverige
Sec,2,3,55,kvinna,M,Sverige
L,3,1,28,kvinna,M,Sverige
Sec,3,5,24,kvinna,M,inte_sverige
,0,5,37,man,Övriga,Sverige
D,3,3,75,kvinna,M,Sverige
Sec,5,3,49,man,M,Sverige
,4,4,88,man,Övriga,Sverige
,4,1,34,kvinna,Övriga,inte_sverige
Sec,1,2,73,kvinna,M,Sverige
,1,3,31,kvinna,Övriga,inte_sverige
,3,5,87,man,Övriga,Sverige
L,2,3,74,man,M,Sverige
,4,3,76,kvinna,Övriga,Sverige
D,2,3,28,man,M,inte_sverige
,4,2,29,man,Övriga,inte_sverige
,3,2,62,man,Övriga,Sverige
,0,3,76,man,Övriga,Sverige
,2,2,83,man,Övriga,inte_sverige
Sec,0,1,87,man,M,Sverige
D,3,2,27,man,M,inte_sverige
S,5,5,44,kvinna,M,Sverige
D,2,1,53,man,M,Sverige
S,1,4,74,man,M,Sverige
L,4,3,31,man,M,Sverige
D,3,2,90,kvinna,M,inte_sverige
L,1,3,50,man,M,Sverige
,3,4,60,man,Övriga,Sverige
S,2,1,33,kvinna,M,Sverige
,0,4,28,kvinna,Övriga,Sverige
D,4,5,32,kvinna,M,Sverige
,2,2,68,kvinna,Övriga,Sverige
,5,4,82,man,Övriga,Sverige
L,1,4,40,man,M,inte_sverige
S,1,4,87,kvinna,M,Sverige
Sec,3,1,66,kvinna,M,inte_sverige
,0,4,66,man,Övriga,Sverige
Sec,1,4,45,man,M,Sverige
L,5,5,54,man,M,Sverige
,4,2,88,man,Övriga,inte_sverige
D,1,5,42,kvinna,M,Sverige
L,2,1,75,man,M,Sverige
,3,5,60,man,Övriga,inte_sverige
,2,2,53,man,Övriga,inte_sverige
L,0,5,32,man,M,Sverige
Sec,4,1,76,kvinna,M,inte_sverige
,0,2,24,kvinna,Övriga,Sverige
L,1,4,26,man,M,inte_sverige
,0,5,58,kvinna,Övriga,inte_sverige
,2,2,60,man,Övriga,Sverige
L,4,1,63,kvinna,M,Sverige
,4,2,84,man,Övriga,Sverige
,2,4,74,kvinna,Övriga,inte_sverige
D,4,1,27,man,M,Sverige
,2,2,57,kvinna,Övriga,inte_sverige
,2,5,38,man,Övriga,inte_sverige
,4,5,74,man,Övriga,Sverige
,3,5,58,man,Övriga,Sverige
,5,4,64,kvinna,Övriga,inte_sverige
D,4,1,50,kvinna,M,inte_sverige
L,3,5,43,man,M,Sverige
,1,3,61,kvinna,Övriga,inte_sverige
,3,3,72,kvinna,Övriga,inte_sverige
,2,2,68,kvinna,Övriga,inte_sverige
D,2,2,46,man,M,Sverige
,5,4,54,kvinna,Övriga,inte_sverige
,3,5,73,kvinna,Övriga,Sverige
D,5,4,84,man,M,inte_sverige
L,3,4,61,man,M,inte_sverige
,2,1,52,man,Övriga,Sverige
,4,4,50,kvinna,Övriga,inte_sverige
,2,5,51,kvinna,Övriga,inte_sverige
,5,4,27,man,Övriga,inte_sverige
,0,4,84,kvinna,Övriga,Sverige
,0,3,84,man,Övriga,Sverige
L,4,5,74,kvinna,M,Sverige
,2,4,35,kvinna,Övriga,inte_sverige
,4,5,63,kvinna,Övriga,inte_sverige
,3,3,53,man,Övriga,Sverige
Sec,1,4,66,kvinna,M,inte_sverige
D,1,3,42,kvinna,M,inte_sverige
D,1,1,25,kvinna,M,inte_sverige
,1,4,38,man,Övriga,Sverige
Sec,0,2,31,kvinna,M,Sverige
,5,1,43,kvinna,Övriga,Sverige
,4,4,69,kvinna,Övriga,Sverige
L,0,3,73,man,M,inte_sverige
L,2,1,27,kvinna,M,inte_sverige
Sec,3,1,39,man,M,Sverige
,0,4,40,kvinna,Övriga,Sverige
,1,2,59,man,Övriga,inte_sverige
,4,1,33,man,Övriga,inte_sverige
S,0,4,86,man,M,Sverige
,5,5,23,man,Övriga,Sverige
L,2,4,90,man,M,Sverige
L,5,2,83,man,M,inte_sverige
Sec,3,5,77,kvinna,M,inte_sverige
,5,1,77,kvinna,Övriga,inte_sverige
L,2,3,53,man,M,inte_sverige
L,1,2,66,man,M,Sverige
S,2,3,87,man,M,Sverige
,1,2,37,kvinna,Övriga,Sverige
L,0,3,20,kvinna,M,Sverige
,2,2,39,man,Övriga,inte_sverige
,0,5,76,kvinna,Övriga,Sverige
Sec,3,1,57,man,M,inte_sverige
,2,1,82,kvinna,Övriga,inte_sverige
L,3,3,20,kvinna,M,Sverige
Sec,2,3,43,kvinna,M,Sverige
L,1,5,78,man,M,Sverige
,4,1,59,kvinna,Övriga,inte_sverige
,5,5,52,man,Övriga,inte_sverige
,0,4,44,kvinna,Övriga,Sverige
,5,4,75,kvinna,Övriga,Sverige
Sec,0,2,82,kvinna,M,Sverige
,5,1,51,man,Övriga,inte_sverige
,0,2,46,kvinna,Övriga,inte_sverige
D,2,1,41,kvinna,M,inte_sverige
S,4,1,20,man,M,Sverige
L,2,3,87,man,M,Sverige
Sec,0,5,70,kvinna,M,Sverige
,0,4,42,kvinna,Övriga,inte_sverige
,4,1,65,kvinna,Övriga,Sverige
,0,2,57,kvinna,Övriga,Sverige
L,1,2,57,man,M,Sverige
D,2,1,64,man,M,inte_sverige
S,5,3,82,man,M,inte_sverige
L,4,3,39,man,M,inte_sverige
,5,3,76,kvinna,Övriga,Sverige
,5,5,66,man,Övriga,Sverige
,3,2,47,man,Övriga,inte_sverige
S,5,2,87,kvinna,M,inte_sverige
D,1,1,90,kvinna,M,Sverige
Sec,3,3,27,kvinna,M,inte_sverige
L,4,1,71,kvinna,M,inte_sverige
,3,2,26,kvinna,Övriga,inte_sverige
,4,1,60,kvinna,Övriga,inte_sverige
L,3,1,59,man,M,Sverige
,1,4,87,kvinna,Övriga,Sverige
,0,4,55,man,Övriga,inte_sverige
Sec,4,5,48,kvinna,M,inte_sverige
,0,4,42,kvinna,Övriga,inte_sverige
,4,3,72,man,Övriga,Sverige
S,1,3,85,kvinna,M,Sverige
,5,5,32,kvinna,Övriga,Sverige
,2,5,29,man,Övriga,Sverige
,4,3,51,man,Övriga,Sverige
,4,2,65,kvinna,Övriga,inte_sverige
,2,3,23,man,Övriga,inte_sverige
,1,3,63,man,Övriga,inte_sverige
D,4,3,21,kvinna,M,Sverige
S,5,2,32,kvinna,M,inte_sverige
,1,3,31,kvinna,Övriga,Sverige
,5,5,64,man,Övriga,Sverige
Sec,2,1,53,kvinna,M,Sverige
,2,3,68,kvinna,Övriga,Sverige
,3,3,24,kvinna,Övriga,inte_sverige
,2,1,28,man,Övriga,inte_sverige
L,0,3,49,man,M,inte_sverige
Sec,0,2,36,man,M,inte_sverige
,3,1,32,kvinna,Övriga,inte_sverige
,1,4,37,man,Övriga,Sverige
D,3,1,34,kvinna,M,Sverige
S,1,2,52,man,M,inte_sverige
,5,5,73,kvinna,Övriga,Sverige
,1,1,46,kvinna,Övriga,inte_sverige
D,0,2,57,kvinna,M,inte_sverige
S,2,2,83,man,M,inte_sverige
L,1,5,59,kvinna,M,Sverige
,3,1,55,kvinna,Övriga,inte_sverige
L,1,5,90,kvinna,M,Sverige
D,2,4,86,man,M,Sverige
,2,4,30,man,Övriga,Sverige
D,2,2,65,man,M,inte_sverige
S,3,3,39,kvinna,M,inte_sverige
,1,5,28,kvinna,Övriga,inte_sverige
,2,2,77,man,Övriga,Sverige
,4,5,58,man,Övriga,Sverige
,5,4,34,kvinna,Övriga,inte_sverige
,5,1,30,kvinna,Övriga,Sverige
D,5,4,32,kvinna,M,Sverige
,3,4,41,man,Övriga,Sverige
Sec,3,3,42,kvinna,M,inte_sverige
S,1,5,36,kvinna,M,inte_sverige
,2,2,78,kvinna,Övriga,Sverige
,1,5,80,kvinna,Övriga,inte_sverige
Sec,5,2,43,man,M,Sverige
,5,5,77,kvinna,Övriga,Sverige
D,2,4,28,kvinna,M,inte_sverige
S,1,5,77,man,M,Sverige
,4,1,76,man,Övriga,Sverige
L,3,1,90,man,M,inte_sverige
S,0,5,36,kvinna,M,Sverige
,4,4,89,kvinna,Övriga,inte_sverige
S,1,4,86,kvinna,M,Sverige
,0,1,70,kvinna,Övriga,Sverige
D,5,3,65,kvinna,M,inte_sverige
D,4,3,82,kvinna,M,inte_sverige
S,0,1,51,kvinna,M,Sverige
,1,2,88,man,Övriga,inte_sverige
,0,5,84,man,Övriga,Sverige
L,3,1,75,man,M,inte_sverige
,2,5,73,man,Övriga,inte_sverige
,4,4,32,kvinna,Övriga,Sverige
,4,1,25,kvinna,Övriga,inte_sverige
,5,5,79,kvinna,Övriga,Sverige
D,3,4,38,man,M,inte_sverige
S,2,4,29,man,M,Sverige
,4,5,54,kvinna,Övriga,Sverige
L,3,4,86,kvinna,M,inte_sverige
D,0,3,57,man,M,inte_sverige
,2,2,70,man,Övriga,inte_sverige
,0,2,54,kvinna,Övriga,inte_sverige
D,2,3,52,man,M,Sverige
,5,3,35,kvinna,Övriga,Sverige
Sec,5,3,79,kvinna,M,Sverige
,4,2,89,man,Övriga,inte_sverige
L,4,1,87,kvinna,M,Sverige
,2,2,31,man,Övriga,Sverige
Sec,5,3,31,man,M,inte_sverige
Sec,4,5,69,kvinna,M,inte_sverige
,4,2,72,man,Övriga,inte_sverige
,0,3,28,kvinna,Övriga,inte_sverige
,4,2,59,kvinna,Övriga,Sverige
,4,1,28,kvinna,Övriga,Sverige
,0,1,48,man,Övriga,Sverige
Sec,2,2,62,man,M,inte_sverige
D,2,2,61,kvinna,M,Sverige
Sec,5,5,24,kvinna,M,Sverige
,4,4,47,kvinna,Övriga,inte_sverige
Sec,5,4,73,kvinna,M,Sverige
,2,4,20,kvinna,Övriga,Sverige
S,0,3,31,man,M,inte_sverige
Sec,2,4,82,man,M,inte_sverige
,4,3,86,kvinna,Övriga,inte_sverige
,4,5,28,man,Övriga,inte_sverige
,2,2,25,kvinna,Övriga,Sverige
L,2,2,78,man,M,inte_sverige
,1,2,48,man,Övriga,inte_sverige
D,3,2,69,kvinna,M,inte_sverige
,0,2,68,man,Övriga,Sverige
,2,1,31,kvinna,Övriga,Sverige
D,2,3,31,kvinna,M,Sverige
S,4,3,35,man,M,inte_sverige
D,5,1,71,man,M,inte_sverige
Sec,4,5,74,man,M,Sverige
S,5,3,65,kvinna,M,inte_sverige
L,0,4,88,man,M,Sverige
,2,2,41,kvinna,Övriga,Sverige
,5,5,50,man,Övriga,Sverige
,2,3,23,man,Övriga,Sverige
Sec,0,1,62,kvinna,M,Sverige
,5,1,23,man,Övriga,inte_sverige
Sec,3,3,89,man,M,Sverige
D,4,1,40,kvinna,M,Sverige
L,3,3,54,kvinna,M,inte_sverige
,3,4,35,kvinna,Övriga,Sverige
,5,1,64,kvinna,Övriga,inte_sverige
,2,3,48,man,Övriga,inte_sverige
,3,1,82,man,Övriga,Sverige
,0,5,82,kvinna,Övriga,Sverige
,5,4,62,kvinna,Övriga,inte_sverige
,1,4,21,kvinna,Övriga,inte_sverige
,0,4,23,kvinna,Övriga,Sverige
,3,4,24,man,Övriga,inte_sverige
,3,1,47,kvinna,Övriga,inte_sverige
,1,1,47,kvinna,Övriga,Sverige
,0,1,88,man,Övriga,inte_sverige
,1,2,31,kvinna,Övriga,Sverige
S,4,5,75,kvinna,M,inte_sverige
,0,2,25,man,Övriga,inte_sverige
L,1,2,61,man,M,inte_sverige
D,4,2,39,kvinna,M,inte_sverige
,1,4,43,man,Övriga,Sverige
S,2,3,24,kvinna,M,inte_sverige
D,3,3,34,kvinna,M,Sverige
Sec,0,1,24,man,M,Sverige
,1,4,79,man,Övriga,inte_sverige
,1,1,55,kvinna,Övriga,inte_sverige
L,4,3,46,man,M,Sverige
,4,5,87,man,Övriga,Sverige
S,2,2,46,man,M,Sverige
L,0,2,66,man,M,inte_sverige
,1,4,22,man,Övriga,inte_sverige
,5,4,39,man,Övriga,inte_sverige
,0,2,26,kvinna,Övriga,inte_sverige
,1,1,58,man,Övriga,inte_sverige
,4,4,29,kvinna,Övriga,inte_sverige
Sec,2,5,66,kvinna,M,Sverige
L,1,2,37,kvinna,M,inte_sverige
,1,3,44,man,Övriga,Sverige
,0,2,74,kvinna,Övriga,Sverige
,0,3,52,man,Övriga,Sverige
,0,5,77,kvinna,Övriga,Sverige
,3,4,84,kvinna,Övriga,Sverige
,1,1,75,kvinna,Övriga,Sverige
L,3,4,54,man,M,Sverige
,5,5,52,man,Övriga,Sverige
,4,3,34,man,Övriga,Sverige
Sec,2,4,84,man,M,Sverige
,4,5,47,kvinna,Övriga,Sverige
,4,2,23,kvinna,Övriga,Sverige
D,4,2,27,kvinna,M,Sverige
D,0,2,69,kvinna,M,inte_sverige
D,5,3,51,kvinna,M,inte_sverige
S,2,1,67,man,M,inte_sverige
D,1,3,37,kvinna,M,Sverige
,3,3,74,man,Övriga,inte_sverige
,4,4,80,kvinna,Övriga,Sverige
,2,2,78,man,Övriga,inte_sverige
,0,1,72,man,Övriga,inte_sverige
,0,5,79,man,Övriga,Sverige
Sec,5,2,66,kvinna,M,Sverige
,1,4,33,man,Övriga,inte_sverige
Sec,2,3,66,man,M,inte_sverige
Sec,1,2,77,kvinna,M,inte_sverige
,4,2,85,man,Övriga,Sverige
,5,4,83,man,Övriga,inte_sverige
,1,1,69,kvinna,Övriga,inte_sverige
L,2,4,35,kvinna,M,inte_sverige
D,4,4,89,man,M,inte_sverige
,1,2,61,man,Övriga,inte_sverige
D,0,2,23,man,M,inte_sverige
,0,1,63,kvinna,Övriga,Sverige
D,2,3,59,kvinna,M,Sverige
D,0,3,28,kvinna,M,Sverige
Sec,2,2,31,man,M,inte_sverige
S,5,3,26,kvinna,M,Sverige
,3,4,77,man,Övriga,Sverige
S,4,2,20,kvinna,M,Sverige
,0,2,76,man,Övriga,Sverige
,1,2,21,kvinna,Övriga,inte_sverige
,3,5,49,kvinna,Övriga,Sverige
,2,4,50,kvinna,Övriga,Sverige
,1,2,39,kvinna,Övriga,Sverige
,2,5,29,man,Övriga,Sverige
D,4,4,57,kvinna,M,inte_sverige
,2,5,49,kvinna,Övriga,inte_sverige
,1,2,90,man,Övriga,inte_sverige
Sec,0,2,42,kvinna,M,Sverige
L,3,3,73,kvinna,M,Sverige
,2,3,67,man,Övriga,Sverige
,2,3,85,kvinna,Övriga,Sverige
D,2,1,21,kvinna,M,Sverige
,0,2,39,kvinna,Övriga,Sverige
L,3,1,27,kvinna,M,Sverige
,5,3,41,kvinna,Övriga,Sverige
S,1,2,73,man,M,inte_sverige
,5,4,22,man,Övriga,Sverige
D,3,3,66,kvinna,M,inte_sverige
,1,3,41,man,Övriga,inte_sverige
Sec,1,5,34,kvinna,M,inte_sverige
,4,3,39,man,Övriga,inte_sverige
,4,1,65,kvinna,Övriga,inte_sverige
,2,2,78,kvinna,Övriga,Sverige
D,1,3,42,man,M,inte_sverige
,4,5,38,kvinna,Övriga,Sverige
,2,5,85,man,Övriga,inte_sverige
S,2,2,85,kvinna,M,inte_sverige
,0,1,33,man,Övriga,inte_sverige
,3,3,53,kvinna,Övriga,inte_sverige
D,4,3,30,man,M,inte_sverige
D,2,3,73,kvinna,M,Sverige
,0,2,73,man,Övriga,Sverige
,1,3,79,man,Övriga,Sverige
,2,2,47,kvinna,Övriga,Sverige
,3,5,53,kvinna,Övriga,Sverige
S,1,1,48,man,M,Sverige
S,4,2,62,man,M,Sverige
Sec,2,1,71,kvinna,M,Sverige
D,4,1,75,man,M,inte_sverige
L,0,3,34,man,M,inte_sverige
,4,5,20,kvinna,Övriga,Sverige
Sec,5,1,34,man,M,Sverige
,2,5,76,kvinna,Övriga,inte_sverige
Sec,0,3,66,kvinna,M,inte_sverige
D,5,2,25,man,M,Sverige
L,2,4,22,kvinna,M,Sverige
,2,4,23,kvinna,Övriga,inte_sverige
,1,2,68,man,Övriga,inte_sverige
L,2,1,75,man,M,inte_sverige
,4,3,54,man,Övriga,inte_sverige
S,0,1,59,kvinna,M,inte_sverige
,2,5,36,kvinna,Övriga,inte_sverige
S,1,3,42,kvinna,M,inte_sverige
,4,1,74,kvinna,Övriga,inte_sverige
,1,5,69,kvinna,Övriga,inte_sverige
D,2,2,51,man,M,Sverige
,1,4,40,kvinna,Övriga,inte_sverige
L,1,4,56,kvinna,M,Sverige
,0,5,31,man,Övriga,inte_sverige
,1,3,37,kvinna,Övriga,inte_sverige
L,4,1,32,man,M,inte_sverige
,3,4,29,kvinna,Övriga,inte_sverige
,3,2,49,man,Övriga,inte_sverige
S,1,2,52,kvinna,M,inte_sverige
,4,2,84,kvinna,Övriga,Sverige
,0,4,68,man,Övriga,inte_sverige
,2,5,73,man,Övriga,Sverige
Sec,4,3,48,man,M,inte_sverige
L,5,1,66,man,M,Sverige
L,3,5,60,kvinna,M,Sverige
,1,1,44,man,Övriga,inte_sverige
L,1,2,34,kvinna,M,Sverige
Sec,4,3,21,man,M,inte_sverige
,1,5,51,kvinna,Övriga,inte_sverige
Sec,3,1,45,man,M,Sverige
,4,3,56,man,Övriga,inte_sverige
,5,3,21,kvinna,Övriga,inte_sverige
,2,1,48,man,Övriga,Sverige
,2,2,64,man,Övriga,Sverige
S,3,5,73,kvinna,M,Sverige
,3,1,86,kvinna,Övriga,Sverige
,5,4,78,kvinna,Övriga,inte_sverige
Sec,5,1,25,man,M,Sverige
Sec,3,4,56,man,M,inte_sverige
S,5,4,31,man,M,Sverige
,3,5,21,kvinna,Övriga,Sverige
Sec,3,3,77,man,M,Sverige
,5,1,52,man,Övriga,inte_sverige
S,0,2,41,man,M,Sverige
S,2,3,70,kvinna,M,Sverige
,1,4,44,man,Övriga,inte_sverige
,0,2,73,kvinna,Övriga,Sverige
D,2,3,38,man,M,inte_sverige
D,5,4,51,man,M,Sverige
L,1,3,21,man,M,Sverige
L,2,3,41,kvinna,M,inte_sverige
D,1,4,83,man,M,Sverige
,0,4,42,kvinna,Övriga,inte_sverige
S,3,5,69,kvinna,M,inte_sverige
,2,2,51,man,Övriga,inte_sverige
L,2,1,77,kvinna,M,Sverige
,2,2,27,kvinna,Övriga,Sverige
S,3,2,27,kvinna,M,Sverige
,5,4,75,kvinna,Övriga,Sverige
,5,4,52,kvinna,Övriga,Sverige
,2,4,85,kvinna,Övriga,inte_sverige
Sec,3,4,34,man,M,inte_sverige
S,2,2,68,man,M,Sverige
D,2,1,30,kvinna,M,inte_sverige
D,2,3,30,man,M,inte_sverige
,1,3,42,man,Övriga,inte_sverige
Sec,5,1,21,man,M,inte_sverige
,1,4,39,man,Övriga,inte_sverige
L,0,4,76,kvinna,M,inte_sverige
S,1,2,68,man,M,inte_sverige
,3,1,44,man,Övriga,Sverige
S,0,1,38,kvinna,M,inte_sverige
L,2,5,50,kvinna,M,inte_sverige
D,1,2,52,kvinna,M,inte_sverige
,3,1,54,kvinna,Övriga,inte_sverige
D,5,3,77,kvinna,M,inte_sverige
,4,3,48,man,Övriga,inte_sverige
D,5,1,42,kvinna,M,inte_sverige
L,2,3,51,man,M,Sverige
,0,4,60,man,Övriga,Sverige
D,5,3,82,kvinna,M,inte_sverige
,0,1,37,kvinna,Övriga,inte_sverige
S,4,3,56,man,M,inte_sverige
,1,4,44,kvinna,Övriga,inte_sverige
D,2,1,62,kvinna,M,Sverige
,2,3,78,man,Övriga,inte_sverige
L,1,4,38,man,M,inte_sverige
,4,1,70,kvinna,Övriga,Sverige
,2,2,89,man,Övriga,inte_sverige
Sec,4,1,55,kvinna,M,inte_sverige
L,4,3,49,man,M,inte_sverige
S,0,5,23,kvinna,M,Sverige
,2,2,26,kvinna,Övriga,inte_sverige
D,4,2,90,man,M,inte_sverige
,5,1,73,kvinna,Övriga,Sverige
L,1,4,21,kvinna,M,inte_sverige
,3,1,27,kvinna,Övriga,Sverige
,0,2,89,kvinna,Övriga,inte_sverige
,5,3,77,man,Övriga,inte_sverige
Sec,5,3,84,kvinna,M,inte_sverige
,3,5,49,man,Övriga,inte_sverige
Sec,0,3,79,man,M,inte_sverige
,4,1,31,kvinna,Övriga,inte_sverige
S,1,3,82,kvinna,M,Sverige
Sec,2,3,23,man,M,Sverige
,5,4,79,man,Övriga,inte_sverige
,3,2,25,man,Övriga,Sverige
S,0,2,55,kvinna,M,Sverige
L,0,3,55,kvinna,M,Sverige
L,1,5,74,kvinna,M,Sverige
,5,4,40,kvinna,Övriga,Sverige
L,1,2,41,kvinna,M,Sverige
,5,1,47,kvinna,Övriga,inte_sverige
S,2,5,58,man,M,Sverige
L,2,1,79,man,M,Sverige
D,3,5,48,kvinna,M,inte_sverige
,0,4,75,man,Övriga,Sverige
,3,4,34,man,Övriga,inte_sverige
D,0,4,57,kvinna,M,Sverige
S,2,4,56,kvinna,M,inte_sverige
,4,1,59,man,Övriga,Sverige
S,4,5,63,man,M,inte_sverige
,3,1,27,man,Övriga,inte_sverige
,3,2,35,kvinna,Övriga,inte_sverige
L,4,4,27,kvinna,M,Sverige
,1,3,39,kvinna,Övriga,Sverige
,2,4,50,man,Övriga,inte_sverige
D,3,3,89,man,M,inte_sverige
,2,2,84,man,Övriga,Sverige
L,2,3,36,kvinna,M,inte_sverige
,4,4,21,kvinna,Övriga,Sverige
S,4,4,50,kvinna,M,inte_sverige
,0,2,86,kvinna,Övriga,inte_sverige
,2,2,44,kvinna,Övriga,Sverige
S,0,2,81,kvinna,M,inte_sverige
L,5,2,63,kvinna,M,inte_sverige
,1,1,61,kvinna,Övriga,Sverige
,5,1,37,man,Övriga,inte_sverige
,5,3,53,man,Övriga,inte_sverige
